iteration,success,sy_clean_gravel,sy_clayey_sand,sy_loamy_sand,sy_sandy_gravel,sy_sandstone,sy_limestone,ss_clean_gravel,ss_clayey_sand,ss_loamy_sand,ss_sandy_gravel,ss_sandstone,ss_limestone,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
64,True,0.982,0.581,0.983,0.328,0.001,0.001,1.21e-07,1.82e-05,3.81e-07,0.000413,3.54e-05,7.79e-05,0.28539873459739346,0.4205830760642676,0.026816640705733107,0.9670368654067601,0.15610768765156327,0.6938099707355139
65,True,0.537,0.903,0.216,0.297,0.001,0.001,4.99e-07,2.55e-07,5.35e-05,9.18e-06,4.54e-07,1.26e-07,0.2682153323804235,0.48825419574847284,0.027514330493928953,0.9652993462881325,0.14786483143717621,0.7267767710183026
66,True,0.0862,0.714,0.0591,0.311,0.001,0.001,0.000664,0.000492,9.17e-07,6.65e-07,0.000385,1.59e-07,0.275055580605004,0.4618194337226563,0.03448505921059541,0.9454893062583941,0.1547703199077997,0.7036543699905252
67,True,0.509,0.157,0.198,0.357,0.001,0.001,0.000283,3.35e-05,4.73e-06,7.65e-05,5.19e-06,4.26e-07,0.2950779521014471,0.380615103276177,0.0307473377921949,0.9566653996853267,0.162912644946821,0.6686402514807519
68,True,0.2,0.422,0.736,0.203,0.001,0.001,1.75e-06,1.09e-06,3.45e-07,3.34e-07,8.08e-05,8.92e-07,0.21254144541225808,0.6786529264642511,0.0575513426132579,0.8481794093689028,0.135046394012758,0.763416167916577
69,True,0.491,0.337,0.538,0.0116,0.001,0.001,4.58e-05,8.27e-07,2.06e-06,1.55e-06,7.13e-07,1.15e-06,0.24832716368445681,0.5613324125829765,0.27073019853453095,-2.3596432284443987,0.2595286811094939,-0.8991554079307111
70,True,0.403,0.0405,0.496,0.385,0.001,0.001,3.36e-06,8.2e-06,2.61e-07,1.43e-07,3.37e-06,0.000131,0.3055627409390753,0.33581680365822564,0.03202211598853399,0.9529976242850866,0.16879242846380466,0.6444072139716561
71,True,0.725,0.747,0.686,0.3,0.001,0.001,1.13e-06,2.34e-06,1.29e-05,2.94e-06,3.09e-05,0.000197,0.26956254032325944,0.4831004302563736,0.028896746664485565,0.9617247832939068,0.1492296434938725,0.7224126067751402
72,True,0.161,0.734,0.727,0.0469,0.001,0.001,2.41e-07,2.48e-07,2.23e-05,5.2e-07,2.92e-06,1.35e-05,0.08935527624422075,0.9432027258424225,0.15845663410081162,-0.15090800352709022,0.12390595517251618,0.39614736115766613
73,True,0.464,0.919,0.55,0.391,0.001,0.001,2.55e-06,5.64e-05,0.000161,1.54e-05,0.000271,2.57e-05,0.30936061053733144,0.3192038013954934,0.030819378149572516,0.9564620977073134,0.17008999434345198,0.6378329495514035
74,True,0.667,0.0356,0.039,0.145,0.001,0.001,0.000508,0.000359,7.72e-07,1.3e-07,4.81e-07,2.03e-06,0.17161619098598577,0.790490554729822,0.10525823445935334,0.4921541364139743,0.13843721272266957,0.6413223455718982
75,True,0.924,0.651,0.327,0.205,0.001,0.001,0.000107,1.99e-07,1.69e-06,1.05e-07,0.000694,3.16e-05,0.21419967139737528,0.6736191341229429,0.048059471192250486,0.8941288250375657,0.1311295712948129,0.7838739795802543
76,True,0.208,0.621,0.00157,0.322,0.001,0.001,4.49e-06,6.17e-07,0.000315,0.000279,2.51e-07,4.38e-06,0.2817860187115663,0.4351593139170882,0.02677665322548259,0.9671350976916983,0.15428133596852445,0.7011472058043933
77,True,0.36,0.267,0.791,0.241,0.001,0.001,0.000328,0.000777,0.000151,2.91e-07,4.69e-05,1.67e-06,0.2370403194728609,0.600302402924547,0.04985306926344764,0.8860790599934449,0.14344669436815427,0.743190731458996
