parameter,perturbation,perturbed_value,rmse_p1,r2_p1,rmse_pz12,r2_pz12,rmse_overall,r2_overall,delta_rmse_overall_pct,delta_r2_overall_pct,delta_rmse_p1_pct,delta_r2_p1_pct,sensitivity_rmse_overall,sensitivity_r2_overall,sensitivity_rmse_p1,sensitivity_r2_p1
ss_loamy_sand,-0.2,0.00776,0.22452555519331194,0.6413930949970609,0.049875255463876694,0.8859776405523445,0.13720040532859432,0.7636853677747026,-0.03378628815757758,0.027795045206856373,-6.263061238046856e-06,7.003434853558729e-06,0.0016893144078788788,-0.0013897522603428187,3.131530619023428e-07,-3.5017174267793646e-07
ss_loamy_sand,-0.1,0.00873,0.22452553597007038,0.6413931564028714,0.04987476168993106,0.885979898224655,0.13720014883000073,0.7636865273137632,-0.03397317676888967,0.02794692206660721,-1.4824777223386914e-05,1.6577253986780637e-05,0.0033973176768889667,-0.0027946922066607208,1.4824777223386913e-06,-1.6577253986780635e-06
ss_loamy_sand,0.1,0.01067,0.22452534222113726,0.6413937753049761,0.04996271720080195,0.8855773884621354,0.1372440297109696,0.7634855818835558,-0.0020009277489774443,0.001627014476090365,-0.00010111736909248638,0.00011307067632768746,-0.0002000927748977444,0.0001627014476090365,-1.0111736909248637e-05,1.1307067632768745e-05
ss_loamy_sand,0.2,0.01164,0.22452544142395095,0.6413934584164325,0.04988595837968968,0.8859286983406341,0.1372056999018203,0.7636610783785334,-0.029928584987138365,0.024613611013778035,-5.693406559842652e-05,6.366438114106655e-05,-0.0014964292493569182,0.0012306805506889017,-2.8467032799213257e-06,3.1832190570533274e-06
ss_sandy_gravel,-0.2,2.128e-05,0.22447371292423324,0.6415586783699149,0.049978538354909556,0.8855049110431439,0.1372261256395714,0.7635317947065294,-0.015046094951060938,0.007679987310100877,-0.023095958034779904,0.025823212830010368,0.0007523047475530468,-0.00038399936550504387,0.001154797901738995,-0.0012911606415005183
ss_sandy_gravel,-0.1,2.394e-05,0.22449964329281547,0.641475861969742,0.04997325768860778,0.8855291045644715,0.13723645049071162,0.7635024832671068,-0.007523258023908885,0.0038407640137434144,-0.011546997857009826,0.012911254996538987,0.0007523258023908884,-0.0003840764013743414,0.0011546997857009825,-0.0012911254996538987
ss_sandy_gravel,0.1,2.926e-05,0.22455149106913938,0.6413102418774055,0.049962706980293925,0.885577435275326,0.13725709902471667,0.7634438385763658,0.00752156460792732,-0.0038405395092311395,0.011545149953076964,-0.01291067935659191,0.000752156460792732,-0.00038405395092311394,0.0011545149953076964,-0.0012910679356591909
ss_sandy_gravel,0.2,3.192e-05,0.2245774105979029,0.641227431417946,0.04995743265907538,0.8856015920731907,0.13726742162848915,0.7634145117455684,0.015042764070212681,-0.007681778773606257,0.02308928225367241,-0.025821710969648987,0.000752138203510634,-0.0003840889386803128,0.0011544641126836203,-0.0012910855484824493
ss_sandstone,-0.2,0.0006864000000000001,0.2244782844302196,0.6415440785906193,0.04947102636646639,0.8878184080896816,0.136974655398343,0.7646812433401504,-0.19827097549423678,0.15823519916896261,-0.021059884369971242,0.02354695191733653,0.009913548774711838,-0.00791175995844813,0.001052994218498562,-0.0011773475958668264
ss_sandstone,-0.1,0.0007722,0.22450149913783563,0.6414699344058798,0.049642983955684894,0.8870371830517034,0.13707224154676026,0.7642535587287916,-0.12716828636856273,0.10221690884392677,-0.010720434973186,0.011987084729729978,0.012716828636856272,-0.010221690884392676,0.0010720434973185999,-0.0011987084729729977
ss_sandstone,0.1,0.0009438000000000002,0.22455314756216097,0.6413049498237213,0.05019647092418524,0.8845042170624808,0.1373748092431731,0.7629045834431011,0.09328694428083842,-0.07447237851441373,0.012282924731725733,-0.013735766825737189,0.009328694428083841,-0.007447237851441373,0.0012282924731725731,-0.0013735766825737187
ss_sandstone,0.2,0.0010296,0.22457816107041004,0.641225033586408,0.05054206468234319,0.8829084067009781,0.13756011287637662,0.762066720143693,0.22830187046883563,-0.18421602678320442,0.023423530379454632,-0.02619555841587602,0.01141509352344178,-0.009210801339160222,0.0011711765189727317,-0.0013097779207938008
ss_limestone,-0.2,0.007912,0.22454118295037456,0.6413431726920104,0.050501171406710246,0.8830978062339688,0.1375211771785424,0.7622204894629896,0.19993275390978532,-0.1640752638409257,0.0069540831988542245,-0.007776415023529642,-0.009996637695489264,0.008203763192046284,-0.0003477041599427112,0.0003888207511764821
ss_limestone,-0.1,0.008901,0.22453298521024917,0.6413693605098051,0.05018702101173313,0.8845476990954697,0.13736000311099114,0.7629585298026373,0.08249898071467163,-0.06740646416954169,0.0033029444209519004,-0.003693455628885951,-0.008249898071467162,0.006740646416954168,-0.00033029444209519007,0.0003693455628885951
ss_limestone,0.1,0.010879,0.2245189467066853,0.6414142045233939,0.04960938027808087,0.887190061908767,0.1370641634923831,0.7643021332160804,-0.13305407444848447,0.1085792133530559,-0.0029495744393409043,0.0032982031649567505,-0.013305407444848446,0.010857921335305588,-0.00029495744393409043,0.00032982031649567503
ss_limestone,0.2,0.011867999999999998,0.22451306366706258,0.6414329962274834,0.04935246921382048,0.888355449443879,0.13693276644044153,0.7648942228356812,-0.22879188035392545,0.18613133313557523,-0.005569783639662238,0.0062280297490147326,-0.011439594017696272,0.00930656665677876,-0.0002784891819831119,0.0003114014874507366
