parameter,perturbation,perturbed_value,rmse_natural,r2_natural,rmse_pumping,r2_pumping,delta_rmse_nat_pct,delta_r2_nat_pct,delta_rmse_pump_pct,delta_r2_pump_pct,sensitivity_rmse_nat,sensitivity_r2_nat,sensitivity_rmse_pump,sensitivity_r2_pump
loamy_sand,-0.1,1.3500000000000001e-05,0.04077121609022926,0.9006598369635754,0.20494105048308112,0.8498312840082021,-0.7863313499261094,0.17583638842109645,0.12354040611507262,-0.04356044796367775,0.07863313499261095,-0.017583638842109645,-0.012354040611507262,0.0043560447963677746
loamy_sand,0.1,1.65e-05,0.04140704692346845,0.8975372389488653,0.20447193780953465,0.8505179733925486,0.7609148609027874,-0.17147438862320463,-0.10564365249170918,0.03720737881451457,0.07609148609027873,-0.017147438862320463,-0.010564365249170917,0.003720737881451457
loamy_sand,0.2,1.8e-05,0.04171016674278506,0.8960315930451632,0.2042827961944183,0.8507943946512031,1.4985340000619871,-0.33893976402691944,-0.19804841034251944,0.06971981434321822,0.07492670000309935,-0.01694698820134597,-0.00990242051712597,0.003485990717160911
sandstone,-0.2,3.2880000000000004e-05,0.04312264410544843,0.8888707708379381,0.20674120847928704,0.8471815985196822,4.935690760970993,-1.1354017848670568,1.0030039955016905,-0.35521422248227486,-0.24678453804854963,0.056770089243352834,-0.050150199775084524,0.017760711124113742
sandstone,-0.1,3.699e-05,0.04190508838545076,0.895057583709615,0.20557187275356842,0.8489054025174874,1.972861065150372,-0.4472738939994794,0.4317273649470556,-0.15246184874816665,-0.1972861065150372,0.04472738939994794,-0.04317273649470556,0.015246184874816665
sandstone,0.1,4.521000000000001e-05,0.04064832453669961,0.9012577915752475,0.2040115089120705,0.8511904212070492,-1.0853786445861695,0.24234385426803862,-0.3305852696578608,0.11630012414745679,-0.10853786445861695,0.02423438542680386,-0.033058526965786074,0.011630012414745677
sandstone,0.2,4.932e-05,0.040416666397855135,0.9023800643795509,0.20351762762762587,0.8519100404775737,-1.6491011927815462,0.36716857966723637,-0.5718699835907525,0.20094113639096758,-0.08245505963907732,0.018358428983361815,-0.028593499179537622,0.01004705681954838
sandy_gravel,-0.2,0.00072,0.04159794414001062,0.8965903013938976,0.23849148703056333,0.7966391659547095,1.2254487896019353,-0.2767974614231396,16.51453909274449,-6.299972553413297,-0.06127243948009676,0.01383987307115698,-0.8257269546372245,0.31499862767066483
sandy_gravel,-0.1,0.00081,0.041185239307580314,0.8986320356480482,0.21524559832413812,0.8343505075269102,0.22116281480028654,-0.0497056913693448,5.157806648524084,-1.8643963334968132,-0.022116281480028654,0.00497056913693448,-0.5157806648524084,0.1864396333496813
sandy_gravel,0.1,0.00099,0.04118685864799746,0.8986240642256897,0.20359071153987615,0.8518036621061172,0.22510335714817628,-0.050592312343421306,-0.5361649844020631,0.18842900197532397,0.022510335714817628,-0.005059231234342131,-0.05361649844020631,0.018842900197532396
sandy_gravel,0.2,0.00108,0.041383462738292194,0.8976539250072736,0.20910609074897693,0.8436654682097557,0.703524531208407,-0.15849598876990528,2.1583624994562145,-0.7687785068230438,0.03517622656042035,-0.007924799438495264,0.10791812497281073,-0.03843892534115219
limestone,-0.2,2.4e-05,0.03920846649153789,0.9081292523136623,0.20715193562616488,0.8465737950255613,-4.589164224090929,1.0066216630815896,1.2036639218042884,-0.42670355732185783,0.22945821120454643,-0.050331083154079484,-0.06018319609021442,0.02133517786609289
limestone,-0.1,2.7000000000000002e-05,0.040087373363597155,0.9039642926379019,0.20579039467482424,0.8485840061123894,-2.4504108696218703,0.5433742727572283,0.5384858126124018,-0.19026422310522598,0.24504108696218704,-0.05433742727572283,-0.053848581261240175,0.019026422310522595
limestone,0.1,3.3e-05,0.04214782714892529,0.8938382868500586,0.20376116091141208,0.8515554135834651,2.563547474763298,-0.5828901141294023,-0.45289228477479393,0.15923021991669303,0.25635474747632975,-0.058289011412940225,-0.04528922847747939,0.015923021991669305
limestone,0.2,3.6e-05,0.04309355140086223,0.8890206669917077,0.20302719871512484,0.8526229034473081,4.86489586619617,-1.1187295941475282,-0.8114680481140828,0.28478747822845213,0.24324479330980844,-0.055936479707376405,-0.04057340240570414,0.014239373911422605
riv_cond,-0.2,0.0002,0.04092495758292891,0.8999092338746295,0.20205960636965467,0.8540243033163735,-0.41221306312508554,0.09235060483781987,-1.2841833536615577,0.4496189499998719,0.020610653156254276,-0.004617530241890993,0.06420916768307788,-0.022480947499993593
riv_cond,-0.1,0.00022500000000000002,0.040923076934850575,0.8999184327201771,0.20338524490094761,0.8521026348660539,-0.41678947788981996,0.09337374588255373,-0.63654529999222,0.22359392608280365,0.04167894778898199,-0.009337374588255372,0.063654529999222,-0.022359392608280362
riv_cond,0.1,0.000275,0.04138635847270468,0.897639601535983,0.20586897933766443,0.8484683423394233,0.7105710817420751,-0.16008911600577588,0.5768781925022982,-0.2038684986225029,0.0710571081742075,-0.01600891160057759,0.057687819250229824,-0.020386849862250287
riv_cond,0.2,0.0003,0.04179418696121829,0.8956123069472547,0.2069853493997555,0.8468204585734754,1.702990842680883,-0.3855748351383711,1.1222785540037095,-0.39769119865640246,0.08514954213404415,-0.019278741756918554,0.05611392770018547,-0.019884559932820123
initial_head,-0.2,29.92,0.043575687644014614,0.8766059575770693,0.19952663505781396,0.8609369496995718,6.038137924182642,-2.499554904759112,-2.521661423042054,1.2626785929537756,-0.30190689620913214,0.1249777452379556,0.1260830711521027,-0.06313392964768877
initial_head,-0.1,33.66,0.04129011661356904,0.8981151157393148,0.20451955486688694,0.8504483430744564,0.47637380144954766,-0.10720007723845283,-0.08238043433900516,0.029017519471432225,-0.047637380144954763,0.010720007723845282,0.008238043433900515,-0.002901751947143222
initial_head,0.1,41.14,0.041079466071239384,0.8991520398785989,0.2046853136328243,0.8502058279389869,-0.03622835055398481,0.00813174800905483,-0.0013993206974174718,0.0004930935822415116,-0.0036228350553984805,0.0008131748009054829,-0.00013993206974174718,4.930935822415115e-05
initial_head,0.2,44.879999999999995,0.04138736665803974,0.897634614409142,0.20384394872556238,0.8514347635110111,0.7130244244520274,-0.1606438088897735,-0.41244646371711285,0.1450394600551399,0.035651221222601365,-0.008032190444488675,-0.02062232318585564,0.007251973002756994
ghb_north_head,-0.2,29.760000000000005,inf,,inf,,inf,,inf,,,,,
ghb_north_head,-0.1,33.480000000000004,1.10636934575141,-72.15058541145848,1.0065837497247188,-2.6226083278971553,2592.2660690585794,-8124.944538300059,391.7644781274399,-408.4689817015361,-259.2266069058579,812.4944538300059,-39.17644781274399,40.84689817015361
ghb_north_head,0.1,40.92000000000001,1.1296070215641763,-75.25569859564293,1.279738862346794,-4.85550381833362,2648.8131944419238,-8470.31056611703,525.2138621883022,-671.1002678353528,264.88131944419234,-847.031056611703,52.521386218830216,-67.11002678353528
ghb_north_head,0.2,44.64,2.2697589161513037,-306.87682494711254,2.423943636560048,-20.007123349521965,5423.286539313035,-34232.35646316862,1084.2128166377338,-2453.22099024696,271.1643269656517,-1711.6178231584308,54.210640831886685,-122.66104951234799
ghb_south_head,-0.2,30.080000000000002,inf,,inf,,inf,,inf,,,,,
ghb_south_head,-0.1,33.84,0.7570802483033674,-33.25321727317267,0.692728742787592,-0.7157261361400136,1742.2974858158955,-3798.587098295006,238.43124208391154,-184.1831050575932,-174.22974858158955,379.8587098295006,-23.843124208391153,18.41831050575932
ghb_south_head,0.1,41.36000000000001,0.8448810445321584,-41.658803550383595,0.9618877245678799,-2.308036678206592,1955.9540783732,-4733.497928218793,369.9283244128236,-371.4693293249173,195.59540783731998,-473.3497928218793,36.99283244128235,-37.14693293249173
ghb_south_head,0.2,45.12,1.6560153088215452,-162.88765157677224,1.7704242834689137,-10.206661833210845,3929.787921097712,-18217.169284532876,764.9372434855401,-1300.498964626924,196.4893960548856,-910.8584642266438,38.246862174277005,-65.02494823134619
